"subject_no","activity_code","tBodyAcc_mean_X.mn","tBodyAcc_mean_X.n","tBodyAcc_mean_Y.mn","tBodyAcc_mean_Y.n","tBodyAcc_mean_Z.mn","tBodyAcc_mean_Z.n","tBodyAcc_std_X.mn","tBodyAcc_std_X.n","tBodyAcc_std_Y.mn","tBodyAcc_std_Y.n","tBodyAcc_std_Z.mn","tBodyAcc_std_Z.n","tGravityAcc_mean_X.mn","tGravityAcc_mean_X.n","tGravityAcc_mean_Y.mn","tGravityAcc_mean_Y.n"
1,1,0.277330758736842,95,-0.0173838185273684,95,-0.111148103547368,95,-0.283740258842105,95,0.114461336747368,95,-0.260027902210526,95,0.935223201473684,95,-0.282165021263158,95
2,1,0.276426586440678,59,-0.0185949199145763,59,-0.105500357966102,59,-0.423642838474576,59,-0.0780912533118644,59,-0.425257524915254,59,0.91301733338983,59,-0.34660709,59
3,1,0.275567462068966,58,-0.0171767844203448,58,-0.112674859827586,58,-0.360356726034483,58,-0.0699140652103448,58,-0.387411994310345,58,0.936506743275862,58,-0.261986357931034,58
4,1,0.278582015166667,60,-0.0148399475341667,60,-0.11140306485,60,-0.440829971333333,60,-0.0788267367683333,60,-0.586252806833333,60,0.963999696833333,60,-0.0858540265666667,60
5,1,0.27784234625,56,-0.0172850317482679,56,-0.107741776464286,56,-0.294098534232143,56,0.0767484028053571,56,-0.45702143625,56,0.972624959821429,56,-0.100440285303571,56
6,1,0.283658868070175,57,-0.0168954189082456,57,-0.110303165877193,57,-0.296538717368421,57,0.164213884996491,57,-0.504324207192982,57,0.958067455087719,57,-0.214694852280702,57
7,1,0.275592961754386,57,-0.018653665345614,57,-0.110912234947368,57,-0.327243240701754,57,-0.0772618561052631,57,0.159631283261403,57,0.932566472280702,57,-0.159097003684211,57
8,1,0.27468631,48,-0.0186628865310417,48,-0.107252090833333,48,-0.173605736002083,48,0.380782052708333,48,-0.1420885318125,48,0.913586347916667,48,-0.217102194583333,48
9,1,0.278502842115385,52,-0.0180891971284423,52,-0.110820512307692,52,-0.238353562692308,52,-0.201696960826923,52,-0.0579636469030769,52,0.951867079615385,52,-0.0314341738730769,52
10,1,0.278574076603774,53,-0.017022351190566,53,-0.109057512132075,53,-0.178709734396226,53,-0.0227431651698113,53,-0.395645072075472,53,0.963092149811321,53,-0.0838277013962264,53
11,1,0.271821892881356,59,-0.0166475833623729,59,-0.106096304033898,59,-0.422842071864407,59,-0.0522120750440678,59,-0.530626311355932,59,0.946468451355932,59,-0.212045870169492,59
12,1,0.2771286656,50,-0.015560927606,50,-0.10316110632,50,-0.128898533096,50,-0.122783290008,50,-0.4106060626,50,0.9668735148,50,-0.1559834498,50
13,1,0.275883130350877,57,-0.0185660651947368,57,-0.111431456192982,57,-0.346980394210526,57,0.141866689392982,57,-0.220503537026316,57,0.910855709298246,57,-0.283658580877193,57
14,1,0.271959598644068,59,-0.0217785380966102,59,-0.106756369135593,59,-0.402639098135593,59,-0.0536126686650847,59,0.0518841040022034,59,0.802973961525424,59,-0.270314822881356,59
15,1,0.273899207962963,54,-0.0170809740090741,54,-0.107621819518519,54,-0.327961801111111,54,0.138912923691296,54,-0.518932634814815,54,0.951524391481481,54,-0.233918282592593,54
16,1,0.276023564509804,51,-0.0204286929452941,51,-0.108804049803922,51,-0.404692523921569,51,-0.314569762352941,51,-0.159799790235294,51,0.925981326078431,51,-0.0668246472745098,51
17,1,0.272341855245902,61,-0.0184875403339344,61,-0.109792122032787,61,-0.31950017295082,61,-0.0175797885542623,61,-0.265824489180328,61,0.92811236852459,61,-0.179927382704918,61
18,1,0.273887758571429,56,-0.0178023631866071,56,-0.104218315464286,56,-0.37600552125,56,-0.227005874892857,56,-0.428348061071429,56,0.92386524875,56,-0.254317085892857,56
19,1,0.273931172307692,52,-0.0191773587903846,52,-0.122736673192308,52,-0.0489049407963462,52,0.181801561185577,52,-0.13947794235,52,0.935222559230769,52,-0.2233381,52
20,1,0.272589336470588,51,-0.021199992245098,51,-0.113539477098039,51,-0.208342792019608,51,0.489771808627451,51,-0.228734217372549,51,0.899965205686274,51,-0.344443913137255,51
21,1,0.279183526730769,52,-0.0181610317526923,52,-0.104319332403846,52,-0.297814843538462,52,0.0540880509209615,52,-0.16868872575,52,0.862524800961538,52,-0.370984549423077,52
22,1,0.27886459,46,-0.0167213607957174,46,-0.107112510934783,46,-0.00865921919565217,46,0.100384246321739,46,-0.213351968804348,46,0.936096410434783,46,-0.259644937173913,46
23,1,0.273211884237288,59,-0.0183618711932203,59,-0.113382994084746,59,-0.313521773389831,59,-0.119020586510678,59,0.164220685383051,59,0.939809688644068,59,-0.16176137,59
24,1,0.276980816034483,58,-0.0225446400534483,58,-0.110595952913793,58,-0.47076236637931,58,-0.154127498163793,58,-0.288840016206897,58,0.95970108137931,58,-0.115116241810345,58
25,1,0.278992759054054,74,-0.0186477624716216,74,-0.108737636297297,74,-0.596007443513514,74,-0.161852411581081,74,-0.437133403243243,74,0.937483114459459,74,-0.127315870743243,74
26,1,0.279264443728814,59,-0.0154259586949153,59,-0.108927011474576,59,-0.340185527559322,59,-0.136351391645763,59,-0.333486502542373,59,0.960647754576271,59,-0.133922185084746,59
27,1,0.276849485438596,57,-0.0166478783221912,57,-0.112822289263158,57,-0.348475560526316,57,-0.187301214964912,57,-0.297318273508772,57,0.944759287368421,57,-0.187497034561404,57
28,1,0.281228223888889,54,-0.0156759722981481,54,-0.103714705396296,54,-0.293003522222222,54,-0.117886186425926,54,-0.300928395925926,54,0.942930275555556,54,-0.229316151481481,54
29,1,0.271999916792453,53,-0.0162915600588679,53,-0.106632427301887,53,-0.174337940226415,53,-0.0917540612869811,53,-0.242828038264151,53,0.96237438509434,53,-0.127318078679245,53
